2020-06-09 06:59:54 status unpacked libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-06-09 06:59:54 status half-configured libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-06-09 06:59:54 status installed libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-06-09 06:59:54 configure uuid-dev:amd64 2.33.1-0.1 <none>
2020-06-09 06:59:54 status unpacked uuid-dev:amd64 2.33.1-0.1
2020-06-09 06:59:54 status half-configured uuid-dev:amd64 2.33.1-0.1
2020-06-09 06:59:54 status installed uuid-dev:amd64 2.33.1-0.1
2020-06-09 06:59:54 configure libsctp-dev:amd64 1.0.18+dfsg-1 <none>
2020-06-09 06:59:54 status unpacked libsctp-dev:amd64 1.0.18+dfsg-1
2020-06-09 06:59:54 status half-configured libsctp-dev:amd64 1.0.18+dfsg-1
2020-06-09 06:59:54 status installed libsctp-dev:amd64 1.0.18+dfsg-1
2020-06-09 06:59:54 configure libapr1-dev:amd64 1.6.5-1+b1 <none>
2020-06-09 06:59:54 status unpacked libapr1-dev:amd64 1.6.5-1+b1
2020-06-09 06:59:54 status half-configured libapr1-dev:amd64 1.6.5-1+b1
2020-06-09 06:59:54 status installed libapr1-dev:amd64 1.6.5-1+b1
2020-06-09 06:59:54 configure libaprutil1-dev:amd64 1.6.1-4 <none>
2020-06-09 06:59:54 status unpacked libaprutil1-dev:amd64 1.6.1-4
2020-06-09 06:59:54 status half-configured libaprutil1-dev:amd64 1.6.1-4
2020-06-09 06:59:54 status installed libaprutil1-dev:amd64 1.6.1-4
2020-06-09 06:59:54 trigproc libc-bin:amd64 2.28-10 <none>
2020-06-09 06:59:54 status half-configured libc-bin:amd64 2.28-10
2020-06-09 06:59:54 status installed libc-bin:amd64 2.28-10
2020-06-09 07:00:01 startup archives unpack
2020-06-09 07:00:01 install perl-modules-5.28:all <none> 5.28.1-6
2020-06-09 07:00:01 status half-installed perl-modules-5.28:all 5.28.1-6
2020-06-09 07:00:02 status unpacked perl-modules-5.28:all 5.28.1-6
2020-06-09 07:00:02 install libgdbm-compat4:amd64 <none> 1.18.1-4
2020-06-09 07:00:02 status triggers-pending libc-bin:amd64 2.28-10
2020-06-09 07:00:02 status half-installed libgdbm-compat4:amd64 1.18.1-4
2020-06-09 07:00:02 status unpacked libgdbm-compat4:amd64 1.18.1-4
2020-06-09 07:00:02 install libperl5.28:amd64 <none> 5.28.1-6
2020-06-09 07:00:02 status half-installed libperl5.28:amd64 5.28.1-6
2020-06-09 07:00:03 status unpacked libperl5.28:amd64 5.28.1-6
2020-06-09 07:00:03 install perl:amd64 <none> 5.28.1-6
2020-06-09 07:00:03 status half-installed perl:amd64 5.28.1-6
2020-06-09 07:00:03 status unpacked perl:amd64 5.28.1-6
2020-06-09 07:00:03 install readline-common:all <none> 7.0-5
2020-06-09 07:00:03 status half-installed readline-common:all 7.0-5
2020-06-09 07:00:03 status unpacked readline-common:all 7.0-5
2020-06-09 07:00:03 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2020-06-09 07:00:03 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2020-06-09 07:00:03 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2020-06-09 07:00:03 install libpcre2-8-0:amd64 <none> 10.32-5
2020-06-09 07:00:03 status half-installed libpcre2-8-0:amd64 10.32-5
2020-06-09 07:00:03 status unpacked libpcre2-8-0:amd64 10.32-5
2020-06-09 07:00:03 install libpsl5:amd64 <none> 0.20.2-2
2020-06-09 07:00:03 status half-installed libpsl5:amd64 0.20.2-2
2020-06-09 07:00:03 status unpacked libpsl5:amd64 0.20.2-2
2020-06-09 07:00:03 install wget:amd64 <none> 1.20.1-1.1
2020-06-09 07:00:03 status half-installed wget:amd64 1.20.1-1.1
2020-06-09 07:00:03 status unpacked wget:amd64 1.20.1-1.1
2020-06-09 07:00:03 install xz-utils:amd64 <none> 5.2.4-1
2020-06-09 07:00:03 status half-installed xz-utils:amd64 5.2.4-1
2020-06-09 07:00:03 status unpacked xz-utils:amd64 5.2.4-1
2020-06-09 07:00:03 install binutils-common:amd64 <none> 2.31.1-16
2020-06-09 07:00:03 status half-installed binutils-common:amd64 2.31.1-16
2020-06-09 07:00:03 status unpacked binutils-common:amd64 2.31.1-16
2020-06-09 07:00:03 install libbinutils:amd64 <none> 2.31.1-16
2020-06-09 07:00:03 status half-installed libbinutils:amd64 2.31.1-16
2020-06-09 07:00:03 status unpacked libbinutils:amd64 2.31.1-16
2020-06-09 07:00:03 install binutils-x86-64-linux-gnu:amd64 <none> 2.31.1-16
2020-06-09 07:00:03 status half-installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2020-06-09 07:00:04 status unpacked binutils-x86-64-linux-gnu:amd64 2.31.1-16
2020-06-09 07:00:04 install binutils:amd64 <none> 2.31.1-16
2020-06-09 07:00:04 status half-installed binutils:amd64 2.31.1-16
2020-06-09 07:00:04 status unpacked binutils:amd64 2.31.1-16
2020-06-09 07:00:04 install openssl:amd64 <none> 1.1.1d-0+deb10u3
2020-06-09 07:00:04 status half-installed openssl:amd64 1.1.1d-0+deb10u3
2020-06-09 07:00:04 status unpacked openssl:amd64 1.1.1d-0+deb10u3
2020-06-09 07:00:04 install ca-certificates:all <none> 20200601~deb10u1
2020-06-09 07:00:04 status half-installed ca-certificates:all 20200601~deb10u1
2020-06-09 07:00:04 status unpacked ca-certificates:all 20200601~deb10u1
2020-06-09 07:00:04 install libisl19:amd64 <none> 0.20-2
2020-06-09 07:00:04 status half-installed libisl19:amd64 0.20-2
